STATUS	DATA SOLICITAÇÃO	PAÍS DE ORIGEM	GÊNERO	ANO DE NASCIMENTO	CIDADE SOLICITAÇÃO	DATA DA  DECISÃO
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	F	1994	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	M	1989	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2014	REP.DEM DO CONGO	M	1979	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	M	1986	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	M	1983	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	M	1986	GOIÂNIA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2014	REP.DEM DO CONGO	M	1997	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1992	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1988	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1969	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	M	2000	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	2005	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1939	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	VENEZUELA	M	1962	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	VENEZUELA	M	1967	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	VENEZUELA	F	1943	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	M	1981	BOA VISTA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	M	1984	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1992	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	M	1977	PACARAÍMA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	M	1996	PACARAÍMA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	M	1964	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1985	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1978	MANAUS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	VENEZUELA	M	1991	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	VENEZUELA	M	1984	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	M	1977	BOA VISTA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1948	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2014	EGITO	M	1989	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SOMÁLIA	M	1992	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1995	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	SÍRIA	M	1963	BELO HORIZONTE	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	F	1997	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	F	2012	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	2016	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1986	CAMPO GRANDE	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1996	CURITIBA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1984	BARRACÃO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	F	1996	BARRACÃO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	F	2016	BARRACÃO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1994	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1974	CAMPINAS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	SÍRIA	M	1987	GOIÂNIA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	SÍRIA	M	1997	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	SÍRIA	F	1962	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	SÍRIA	M	1959	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1992	SÃO JOSÉ DO RIO PRETO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1989	BELO HORIZONTE	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	PALESTINA	M	1994	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	1995	JOINVILLE	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	SÍRIA	M	1992	BRASÍLIA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	1988	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	1989	FLORIANÓPOLIS	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	F	1983	BELO HORIZONTE	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	F	2007	BELO HORIZONTE	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	F	2003	BELO HORIZONTE	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	F	2011	BELO HORIZONTE	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	1985	CURITIBA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	F	1961	CURITIBA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	1991	BRASÍLIA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1996	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1991	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	1970	CURITIBA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	VENEZUELA	F	1978	CURITIBA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	2007	CURITIBA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	2010	CURITIBA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1994	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	1996	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	F	1968	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	SÍRIA	M	2000	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	F	1966	CURITIBA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	VENEZUELA	M	1991	CURITIBA	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	IRÃ	M	1996	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	IRÃ	M	1986	SÃO PAULO	29/03/2019
